,algo1,algo2,algo3,algo4,algo5,algo6
inst_161,0.9004581075271929,60.0,60.0,60.0,60.0,60.0
inst_162,60.0,0.20880004847995431,60.0,60.0,60.0,60.0
inst_163,0.5,60.0,60.0,60.0,60.0,60.0
inst_164,0.5,60.0,60.0,60.0,60.0,60.0
inst_165,0.5,60.0,60.0,60.0,60.0,60.0
inst_166,0.5,60.0,60.0,60.0,60.0,60.0
inst_167,0.5,60.0,60.0,60.0,60.0,60.0
inst_168,3.4158435578425483,60.0,60.0,60.0,60.0,60.0
inst_169,9.250602423809099,60.0,0.610132220832964,60.0,60.0,60.0
inst_170,0.5,60.0,60.0,60.0,60.0,60.0
inst_171,0.5,60.0,60.0,60.0,60.0,60.0
inst_172,0.5,60.0,60.0,60.0,60.0,60.0
inst_173,0.5,60.0,60.0,60.0,60.0,60.0
inst_174,1.9423167222811086,60.0,60.0,60.0,60.0,60.0
inst_175,2.9569501270114897,60.0,60.0,60.0,60.0,60.0
inst_176,60.0,60.0,60.0,60.0,57.41696627461121,60.0
inst_177,11.633238586446947,60.0,60.0,60.0,60.0,60.0
inst_178,5.9420022252794915,60.0,60.0,60.0,60.0,60.0
inst_179,0.5,60.0,60.0,60.0,60.0,60.0
inst_180,0.5,60.0,60.0,60.0,60.0,60.0
inst_181,0.5,60.0,60.0,60.0,60.0,60.0
inst_182,0.5,60.0,60.0,60.0,60.0,60.0
inst_183,0.5,60.0,60.0,60.0,60.0,60.0
inst_184,0.5,60.0,60.0,60.0,60.0,60.0
inst_185,1.9419295768729583,60.0,60.0,60.0,60.0,60.0
inst_186,0.5,60.0,60.0,60.0,60.0,60.0
inst_187,0.5,60.0,60.0,60.0,60.0,60.0
inst_188,14.021815211145807,60.0,60.0,60.0,60.0,60.0
inst_189,13.36757130159262,60.0,60.0,60.0,60.0,60.0
inst_190,0.5,60.0,60.0,60.0,60.0,60.0
inst_191,21.80531660798931,60.0,60.0,60.0,60.0,60.0
inst_192,2.0141561828374552,60.0,60.0,60.0,60.0,0.16492564672796944
inst_193,0.5,60.0,60.0,60.0,60.0,60.0
inst_194,0.5,60.0,60.0,60.0,60.0,60.0
inst_195,0.559039377783336,60.0,60.0,60.0,60.0,60.0
inst_196,0.5,60.0,60.0,60.0,60.0,60.0
inst_197,0.5,60.0,60.0,60.0,60.0,60.0
inst_198,2.253764363166386,60.0,60.0,60.0,60.0,60.0
inst_199,0.5,1.2058421391206566,60.0,60.0,60.0,60.0
